semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,Unnamed: 8,status
299,Av. Conde da Boa Vista,Rua Osvaldo Cruz,BOA VISTA,-8.056664,-34.892671,E/Git,Veicular,1.0,funcionando
300,Rua São Miguel,Em frente à Esc. Amauri Medeiros,AFOGADOS,-8.080315,-34.908269,E/Git,Ocasional/Ped.,1.0,funcionando
301,Rua José Bonifácio,Rua Vitoriano Palhares,TORRE,-8.043492,-34.907912,E/Git,Veicular,1.0,funcionando
302,Rua Imperial,Em frente à Escola Joaquim Nabuco,SÃO JOSÉ,-8.074865,-34.891146,E/Git,Ocasional/Ped.,1.0,funcionando
303,Av. Domingos Ferreira,Rua Adeth Leite,BOA VIAGEM,-8.101935,-34.888044,E/Git,Veicular,1.0,funcionando
304,Rua Ernesto de Paula Santos,Rua Visconde de Jequitinhonha,BOA VIAGEM,-8.124081,-34.903819,E/Git,Veicular,1.0,funcionando
305,Av. Rui Barbosa,Rua Senador Alberto Paiva,GRAÇAS,-8.043981,-34.902188,E/Git,Veicular,1.0,funcionando
306,Estrada Velha de Água Fria,Rua Prof. José dos Anjos,ARRUDA,-8.026749,-34.897962,E,Veicular,1.0,funcionando
307,Av. Beberibe,Rua Cel. Urbano de Sena,ARRUDA,-8.015017,-34.89014,E,Veic.C/Ped.Ocas.,1.0,funcionando
308,Rua João Lira,Rua da Saudade,BOA VISTA,-8.056601,-34.879851,E/Git,Veicular,1.0,funcionando
309,Av. Conselheiro Rosa e Silva,Em frente ao Hospital do IPSEP,GRAÇAS,-8.048070,-34.89683,E/Git,Ocasional/Ped.,1.0,funcionando
310,Av. Mascarenhas de Morais,Em frente a UPA da Imbiribeira SUB/CID,IMBIRIBEIRA,-8.120907,-34.914121,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
311,Av. Sul,Praça Sérgio Loreto,SÃO JOSÉ,-8.073372,-34.885191,E/Git,Veicular,1.0,funcionando
312,Av. Norte Miguel Arraes de Alencar,Rua da Harmonia,CASA AMARELA,-8.023829,-34.912528,E/Git,Veicular,1.0,funcionando
313,Rua 21 de Abril,Em frente à Escola Antônio Farias,AFOGADOS,-8.072345,-34.925366,E,Ocasional/Ped.,1.0,funcionando
314,Av. Beberibe,Rua Expedicionário Inácio Gomes,BEBERIBE,-8.004794,-34.893625,E,Ocasional/Ped.,1.0,funcionando
315,Rua São Nicolau,Rua Abdias Cabral de Moura,IBURA,-8.107121,-34.92825,E/Git,Veicular,,funcionando
316,Av. Masc. de Morais,Ao lado Semáforo Nº 279,IMBIRIBEIRA,-8.087051,-34.907504,E/Git,Ocasional/Ped.,1.0,funcionando
317,Rua Souza Bandeira,Rua Marquês de Maricá,TORRE,-8.047588,-34.917384,E/Git,Veic.C/Ped.,1.0,funcionando
318,Av. Cons. Aguiar,Rua Cel. Sérgio Cardim,BOA VIAGEM,-8.130807,-34.901285,E/Git,Veicular,1.0,funcionando
319,Av. Recife,Av. Senador Robert Kennedy,VILA DA SUDENE,-8.119429,-34.920891,E/Git,Veicular,1.0,funcionando
320,Av. Sul,Ponte dos Afogados,AFOGADOS,-8.079511,-34.902473,E/Git,Veicular,1.0,funcionando
321,Rua Padre Carapuceiro,Av. Fernando Simões Barbosa,BOA VIAGEM,-8.117528,-34.900801,E/Git,Veicular,1.0,funcionando
322,Rua Dez de Julho,Em frente a Estação Metrô Aeroporto,IMBIRIBEIRA,-8.134524,-34.914772,E/Git,Ocasional/Ped.,1.0,funcionando
323,Av. Dois Rios,Próx. a Rua Fernando Tomaz da Silva,IBURA,-8.116596,-34.94113,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
324,Av. Domingos Ferreira,Rua Antônio Pedro Figueiredo,BOA VIAGEM,-8.099950,-34.88713,E/Git,Veicular,1.0,funcionando
325,Av. Dois Rios,Próx. a Rua Rio Pajeú,IBURA,-8.113534,-34.938989,E/Git,Ocasional/Ped.,1.0,funcionando
326,Av. Gal. San Martin,Rua Delmiro Gouveia,BONGI,-8.065287,-34.927227,E/Git,Veic.C/Ped.,1.0,funcionando
327,Av. Abdias de Carvalho,Em frente a Estácio - Sub/Cid.,PRADO,-8.062513,-34.917033,E,Ocasional/Ped.,1.0,funcionando
328,Av. Abdias de Carvalho,Em frente à FIR - Cid/Sub.,PRADO,-8.062363,-34.917038,E,Ocasional/Ped.,1.0,funcionando
